molecule_chembl_id,smiles,standard_units,pIC50,pKi
CHEMBL221519,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O)C(C)O)C(C)C,nM,5.5376020021010435,
CHEMBL222234,O=C(Oc1cncc(Br)c1)c1ccco1,nM,7.301029995663981,
CHEMBL222769,O=C(Oc1cncc(Cl)c1)c1ccc(-c2ccc(Cl)cc2)o1,nM,7.200659450546418,
CHEMBL222840,O=C(Oc1cncc(Cl)c1)c1ccco1,nM,7.221848749616356,
CHEMBL223094,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O)C(C)O)C(C)C,nM,4.552841968657781,
CHEMBL225515,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1,nM,7.187086643357144,
CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,nM,6.229147988357855,
CHEMBL228623,O=c1cc(/C=C/c2ccc(O)c(O)c2)oc2cccc(O)c12,nM,5.154901959985743,
CHEMBL2311694,CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,nM,5.245957613214563,
CHEMBL2311695,CC(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)cc1,nM,4.55129368009492,
CHEMBL2311731,CC(C)(C)NC(=O)C(c1cnccn1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,nM,5.30715308072277,
CHEMBL2311740,CC(C)(C)NC(=O)[C@@H](c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,nM,4.96018944585165,
CHEMBL2315036,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],nM,6.7297094468332395,
CHEMBL2316337,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,nM,5.337242168318426,
CHEMBL2316746,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,nM,7.2656002574794325,
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,nM,4.955264302549493,
CHEMBL2365410,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCNC1=O)C(O)S(=O)(=O)O,nM,7.795880017344075,
CHEMBL2380760,NS(=O)(=O)c1cccc2c1C(=O)c1cccc(O)c1C2=O,nM,5.007004901568658,
CHEMBL2391913,C=CCn1sc2ccccc2c1=O,nM,6.200659450546418,
CHEMBL265502,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,nM,6.585026652029182,
CHEMBL274056,O=C1C=CC(=O)c2c(O)ccc(O)c21,nM,6.309803919971486,
CHEMBL274497,NCCc1cccc(Cl)c1,nM,7.2839966563652006,
CHEMBL282042,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O,nM,5.0034883278458215,
CHEMBL284861,Cn1sc(=O)n(Cc2ccccc2)c1=O,nM,5.6020599913279625,
CHEMBL290904,Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1,nM,6.4089353929735005,
CHEMBL296586,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,nM,5.823908740944319,
CHEMBL297304,O=c1[nH]sc2ccccc12,nM,6.180456064458132,
CHEMBL3040216,CC1=CCC(C(=O)/N=C2\CC=C(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c32)=C/C1=N/C(=O)C1=CC=C/C(=N\C(=O)/N=C2\C=CC=C(C(=O)/N=C3/CC(C(=O)/N=C4\CC=C(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c54)=CC=C3C)C2)C1,nM,6.585026652029182,
CHEMBL304784,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,nM,5.320118057887138,
CHEMBL318779,CSCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,nM,5.413787895767913,
CHEMBL3219171,CC(C)Cn1sc2ccccc2c1=O,nM,6.318758762624412,
CHEMBL3233809,CC(=O)Nc1cccc(CNC(=O)C2CCN([C@H](C)c3cccc4ccccc34)CC2)c1,nM,5.609064892896621,
CHEMBL3233815,C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCc2cccc(F)c2)CC1,nM,5.6585654754218595,
CHEMBL3233822,COc1cc(CNC(=O)C2CCN([C@H](C)c3cccc4ccccc34)CC2)ccn1,nM,5.510744831630739,
CHEMBL3326854,CCCCOc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,nM,5.275724130399211,
CHEMBL33778,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,nM,5.167491087293763,
CHEMBL3407552,O=C1c2ccccc2C(=O)c2oc(-c3ccccc3)nc21,nM,6.251811972993799,
CHEMBL3427141,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1cccc(Cl)c1,nM,6.958607314841775,
CHEMBL3427166,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],nM,6.465372794218974,
CHEMBL3427167,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1,nM,7.392544976785332,
CHEMBL3427168,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1ccccc1,nM,7.251811972993799,
CHEMBL351694,C/N=c1\nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1,nM,6.782516055786093,
CHEMBL354349,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],nM,5.251811972993799,
CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,nM,5.95311480916229,
CHEMBL3559293,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,nM,7.6012963048869215,
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,nM,6.763210900590707,
CHEMBL3605457,CCS(=O)(=O)N1CCC([C@@H](C)n2c(C)c(C(=O)NCc3c(OC)cc(C)[nH]c3=O)c3ccccc32)CC1,nM,5.136677139879544,
CHEMBL3617994,O=C1c2c(O)cccc2[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,nM,4.774819991822317,
CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,nM,5.655607726314889,
CHEMBL3655715,O=C(O)c1ccc(-n2[se]c3ccccc3c2=O)cc1,nM,6.886056647693163,
CHEMBL372816,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)O)C(C)C,nM,5.468521082957745,
CHEMBL373658,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)OCc1ccccc1)C(C)C,nM,6.221848749616356,
